date,transactions
2024/12/29,47
2024/12/30,86
2024/12/31,98
2025/1/1,72
2025/1/2,65
2025/1/3,70
2025/1/4,56
2025/1/5,109
2025/1/6,19
2025/1/7,36
2025/1/8,40
2025/1/9,36
2025/1/10,55
2025/1/11,39
2025/1/12,32
2025/1/13,39
2025/1/14,42
2025/1/15,36
2025/1/16,30
2025/1/17,34
2025/1/18,26
2025/1/19,27
2025/1/20,30
2025/1/21,34
2025/1/22,64
2025/1/23,47
2025/1/24,23
2025/1/25,41
2025/1/26,57
2025/1/27,26
2025/1/28,32
2025/1/29,44
2025/1/30,41
2025/1/31,50
2025/2/1,31
2025/2/2,28
2025/2/3,15
2025/2/4,46
2025/2/5,38
2025/2/6,26
2025/2/7,39
2025/2/8,51
2025/2/9,49
2025/2/10,26
2025/2/11,27
2025/2/12,29
2025/2/13,36
2025/2/14,52
2025/2/15,40
2025/2/16,46
2025/2/17,16
2025/2/18,48
2025/2/19,53
2025/2/20,30
2025/2/21,27
2025/2/22,34
2025/2/23,41
2025/2/24,20
2025/2/25,28
2025/2/26,29
2025/2/27,21
2025/2/28,48
2025/3/1,14
2025/3/2,32
2025/3/3,30
2025/3/4,23
2025/3/5,19
2025/3/6,32
2025/3/7,46
2025/3/8,18
2025/3/9,30
2025/3/10,28
2025/3/11,21
2025/3/12,16
2025/3/13,29
2025/3/14,33
2025/3/15,24
2025/3/16,28
2025/3/17,45
2025/3/18,47
2025/3/19,29
2025/3/20,45
2025/3/21,29
2025/3/22,32
2025/3/23,43
2025/3/24,39
2025/3/25,24
2025/3/26,26
2025/3/27,36
2025/3/28,18
2025/3/29,33
2025/3/30,19
2025/3/31,32
2025/4/1,27
2025/4/2,26
2025/4/3,26
2025/4/4,25
2025/4/5,40
2025/4/6,24
2025/4/7,25
2025/4/8,49
2025/4/9,39
2025/4/10,43
2025/4/11,39
2025/4/12,33
2025/4/13,48
2025/4/14,22
2025/4/15,22
2025/4/16,28
2025/4/17,69
2025/4/18,40
2025/4/19,35
2025/4/20,37
2025/4/21,39
2025/4/22,23
2025/4/23,41
2025/4/24,36
2025/4/25,30
2025/4/26,40
2025/4/27,32
2025/4/28,28
2025/4/29,53
2025/4/30,34
2025/5/1,41
2025/5/2,51
2025/5/3,43
2025/5/4,40
2025/5/5,62
2025/5/6,39
2025/5/7,45
2025/5/8,41
2025/5/9,64
2025/5/10,44
